Sr No.,Player me,Team Code,Age,Player Height,Player_Weight,country,draft_year,draft_round,draft_number,pts,net_rating
9099,Marc Gasol,MEM,32,215.9,115.66596,Spain,2007,2,48,19.5,1.4
9100,Manu Ginobili,SAS,39,198.12,92.98636,Argenti,1999,2,57,7.5,10.4
9101,Marquese Chriss,PHX,19,208.28,105.686936,USA,2016,1,8,9.2,-10.8
9102,Mike Conley,MEM,29,185.42,79.3786,USA,2007,1,4,20.5,3.1
9103,Okaro White,MIA,24,203.2,92.532768,USA,,,,2.8,8.6
9104,Mike Miller,DEN,37,203.2,98.883056,USA,2000,1,5,1.4,-3.3
9105,Omer Asik,NOP,30,213.36,115.66596,Turkey,2008,2,36,2.7,-4.9
9106,Manny Harris,DAL,27,195.58,83.91452,USA,,,,2,-51.1
9107,Norris Cole,OKC,28,187.96,79.3786,USA,2011,1,28,3.3,-6.4
9108,Norman Powell,TOR,24,193.04,97.52228,USA,2015,2,46,8.4,3.7
9109,Noah Vonleh,POR,21,205.74,111.13004,USA,2014,1,9,4.4,-2
9110,Nikola Vucevic,ORL,26,213.36,117.93392,Montenegro,2011,1,16,14.6,-3.6
9111,Nikola Mirotic,CHI,26,208.28,107.954896,Montenegro,2011,1,23,10.6,4.7
9112,Nikola Jokic,DEN,22,208.28,113.398,Serbia,2014,2,41,16.7,5.1
9113,Nik Stauskas,PHI,23,198.12,92.98636,Cada,2014,1,8,9.5,-4.8
9114,Nicolas Laprovittola,SAS,27,193.04,81.64656,Argenti,,,,3.3,-9.7
9115,Nicolas Brussino,DAL,24,203.2,97.52228,Argenti,,,,2.8,-10.8
9116,Nicolas Batum,CHA,28,203.2,90.7184,France,2008,1,25,15.1,1.3
9117,Mike Dunleavy,ATL,36,205.74,104.32616,USA,2002,1,3,5.2,-4.3
9118,Nick Young,LAL,32,200.66,95.25432,USA,2007,1,16,13.2,-6.9
9119,Nerlens Noel,DAL,23,210.82,103.418976,USA,2013,1,6,8.7,-2.6
9120,Nene,HOU,34,210.82,113.398,Brazil,2002,1,7,9.1,6.6
9121,Nemanja Bjelica,MIN,29,208.28,102.0582,Serbia,2010,2,35,6.2,1.3
9122,Myles Turner,IND,21,210.82,110.222856,USA,2015,1,11,14.5,3.2
9123,Montrezl Harrell,HOU,23,203.2,108.86208,USA,2015,2,32,9.1,3.5
9124,Monta Ellis,IND,31,190.5,83.91452,USA,2005,2,40,8.5,-0.5
9125,Mirza Teletovic,MIL,31,205.74,111.13004,Bosnia,,,,6.4,3.4
9126,Mindaugas Kuzminskas,NYK,27,205.74,97.52228,Lithuania,,,,6.3,-1.2
9127,Miles Plumlee,CHA,28,210.82,112.944408,USA,2012,1,26,2.5,-5.9
9128,Mike Tobey,CHA,22,213.36,117.93392,USA,,,,1,-27.3
9129,Mike Scott,ATL,28,203.2,107.501304,USA,2012,2,43,2.5,-8.5
9130,Mike Muscala,ATL,25,210.82,108.86208,USA,2013,2,44,6.2,-3.1
9131,Nick Collison,OKC,36,208.28,115.66596,USA,2003,1,12,1.7,-17.2
9132,Malik Beasley,DEN,20,195.58,88.904032,USA,2016,1,19,3.8,15
9133,Josh McRoberts,MIA,30,208.28,108.86208,USA,2007,2,37,4.9,-9.3
9134,Malcolm Brogdon,MIL,24,195.58,97.52228,USA,2016,2,36,10.2,2.7
9135,Kevin Seraphin,IND,27,208.28,126.098576,France,2010,1,17,4.7,-9.9
9136,Kevin Love,CLE,28,208.28,113.851592,USA,2008,1,5,19,7.2
9137,Kevin Durant,GSW,28,205.74,108.86208,USA,2007,1,2,25.1,16
9138,Kentavious Caldwell-Pope,DET,24,195.58,92.98636,USA,2013,1,8,13.8,-4
9139,Kent Bazemore,ATL,27,195.58,91.171992,USA,,,,11,-2.3
9140,Kenneth Faried,DEN,27,203.2,103.418976,USA,2011,1,22,9.6,-3.1
9141,Kemba Walker,CHA,27,185.42,83.460928,USA,2011,1,9,23.2,3.6
9142,Kelly Oubre Jr.,WAS,21,200.66,92.98636,USA,2015,1,15,6.3,0.4
9143,Kelly Olynyk,BOS,26,213.36,107.954896,Cada,2013,1,13,9,-0.4
9144,Kay Felder,CLE,22,175.26,79.832192,USA,2016,2,54,4,-5.5
9145,Kawhi Leord,SAS,26,200.66,104.32616,USA,2011,1,15,25.5,8.6
9146,Karl-Anthony Towns,MIN,21,213.36,110.676448,USA,2015,1,1,25.1,-0.9
9147,Kevon Looney,GSW,21,205.74,99.79024,USA,2015,1,30,2.5,0.2
9148,KJ McDaniels,BKN,24,198.12,92.98636,USA,2014,2,32,4.2,-3.1
9149,Justise Winslow,MIA,21,200.66,102.0582,USA,2015,1,10,10.9,-0.4
9150,Justin Holiday,NYK,28,198.12,83.91452,USA,,,,7.7,-1.7
9151,Justin Harper,PHI,27,208.28,102.0582,USA,2011,2,32,4,-18
9152,Justin Hamilton,BKN,27,213.36,115.66596,USA,2012,2,45,6.9,-11.3
9153,Justin Anderson,PHI,23,198.12,103.418976,USA,2015,1,21,7.1,-6.6
9154,Julius Randle,LAL,22,205.74,113.398,USA,2014,1,7,13.2,-10.2
9155,Juancho Herngomez,DEN,21,205.74,104.32616,Spain,2016,1,15,4.9,-3.6
9156,Jrue Holiday,NOP,27,193.04,92.98636,USA,2009,1,17,15.4,0.9
9157,Josh Richardson,MIA,23,198.12,90.7184,USA,2015,2,40,10.2,1.2
9158,Josh Huestis,OKC,25,200.66,104.32616,USA,2014,1,29,7,6.4
9159,Jose Calderon,ATL,35,190.5,90.7184,Spain,,,,3.4,-9.7
9160,Otto Porter Jr.,WAS,24,203.2,89.811216,USA,2013,1,3,13.4,3.1
9161,Jusuf Nurkic,POR,22,213.36,127.00576,Bosnia & Herzegovi,2014,1,16,10.2,-2.1
9162,Khris Middleton,MIL,25,203.2,106.140528,USA,2012,2,39,14.7,5.7
9163,Klay Thompson,GSW,27,200.66,97.52228,USA,2011,1,11,22.3,14.7
9164,Kosta Koufos,SAC,28,213.36,120.20188,USA,2008,1,23,6.6,-5.7
9165,Malachi Richardson,SAC,21,198.12,92.98636,USA,2016,1,22,3.6,-4.2
9166,Luol Deng,LAL,32,205.74,99.79024,United Kingdom,2004,1,7,7.6,-6.4
9167,Luke Babbitt,MIA,28,205.74,102.0582,USA,2010,1,16,4.8,1.8
9168,Luis Scola,BKN,37,205.74,109.315672,Argenti,2002,2,55,5.1,-8
9169,Lucas Nogueira,TOR,24,213.36,99.79024,Brazil,2013,1,16,4.4,9.8
9170,Luc Mbah a Moute,LAC,30,203.2,104.32616,Cameroon,2008,2,37,6.1,10.3
9171,Lou Williams,HOU,30,185.42,79.3786,USA,2005,2,45,17.5,-0.4
9172,Leandro Barbosa,PHX,34,190.5,87.996848,Brazil,2003,1,28,6.3,-1.8
9173,LeBron James,CLE,32,203.2,113.398,USA,2003,1,1,26.4,7.7
9174,Lavoy Allen,IND,28,205.74,117.93392,USA,2011,2,50,2.9,-6.3
9175,Larry Sanders,CLE,28,210.82,104.32616,USA,2010,1,15,0.8,-7.2
9176,Larry nce Jr.,LAL,24,205.74,104.32616,USA,2015,1,27,7.1,-5
9177,Langston Galloway,SAC,25,187.96,90.7184,USA,,,,7.9,-1.5
9178,Lance Thomas,NYK,29,203.2,106.59412,USA,,,,6,-9.7
9179,Lance Stephenson,IND,26,195.58,104.32616,USA,2010,2,40,6.8,1.6
9180,Lamar Patterson,ATL,25,195.58,102.0582,USA,2014,2,48,1.8,16.8
9181,LaMarcus Aldridge,SAS,31,210.82,117.93392,USA,2006,1,2,17.3,6.1
9182,Kyrie Irving,CLE,25,190.5,87.543256,Australia,2011,1,1,25.2,5.1
9183,Kyle Wiltjer,HOU,24,208.28,108.86208,Cada,,,,0.9,-35.9
9184,Kyle Singler,OKC,29,203.2,103.418976,USA,2011,2,33,2.8,0.8
9185,Kyle O'Quinn,NYK,27,208.28,113.398,USA,2012,2,49,6.3,-6.8
9186,Kyle Lowry,TOR,31,182.88,92.98636,USA,2006,1,24,22.4,8.2
9187,Kyle Korver,CLE,36,200.66,96.161504,USA,2003,2,51,10.1,-4.9
9188,Kyle Anderson,SAS,23,205.74,104.32616,USA,2014,1,30,3.4,10.5
9189,Kristaps Porzingis,NYK,21,220.98,108.86208,Latvia,2015,1,4,18.1,-3.1
9190,Kris Humphries,ATL,32,205.74,106.59412,USA,2004,1,14,4.6,-4.4
9191,Kris Dunn,MIN,23,193.04,92.98636,USA,2016,1,5,3.8,-2.8
9192,Malcolm Delaney,ATL,28,190.5,86.18248,USA,,,,5.4,2.2
9193,PJ Tucker,TOR,32,198.12,111.13004,USA,2006,2,35,6.7,-1.2
9194,Wilson Chandler,DEN,30,203.2,102.0582,USA,2007,1,23,15.7,-1.7
9195,Pat Conughton,POR,24,195.58,95.25432,USA,2015,2,41,2.5,-5.2
9196,Tony Parker,SAS,35,187.96,83.91452,France,2001,1,28,10.1,5.4
9197,Tony Allen,MEM,35,193.04,96.615096,USA,2004,1,25,9.1,1.2
9198,Toney Douglas,MEM,31,187.96,88.45044,USA,2009,1,29,4.9,-0.3
9199,Tomas Satoransky,WAS,25,200.66,95.25432,Czech Republic,2012,2,32,2.7,2.3
9200,Tobias Harris,DET,24,205.74,106.59412,USA,2011,1,19,16.1,-1.3
9201,Timothe Luwawu-Cabarrot,PHI,22,198.12,92.98636,France,2016,1,24,6.4,-2.5
9202,Timofey Mozgov,LAL,30,215.9,124.7378,Russia,,,,7.4,-9.2
9203,Tim Quarterman,POR,22,198.12,86.18248,USA,,,,1.9,0
9204,Tim Hardaway Jr.,ATL,25,198.12,92.98636,USA,2013,1,24,14.5,3.1
9205,Tim Frazier,NOP,26,185.42,77.11064,USA,,,,7.1,-3
9206,Tiago Splitter,PHI,32,210.82,111.13004,Brazil,2007,1,28,4.9,-3.5
9207,Thon Maker,MIL,20,215.9,101.151016,South Sudan,2016,1,10,4,1.3
9208,Tony Snell,MIL,25,200.66,98.429464,USA,2013,1,20,8.5,-1.2
9209,Thomas Robinson,LAL,26,208.28,107.501304,USA,2012,1,5,5,-7.5
9210,Thabo Sefolosha,ATL,33,200.66,99.79024,Switzerland,2006,1,13,7.2,-0.5
9211,Terry Rozier,BOS,23,187.96,86.18248,USA,2015,1,16,5.5,-0.2
9212,Terrence Ross,ORL,26,200.66,88.45044,USA,2012,1,8,11,3.4
9213,Terrence Jones,MIL,25,205.74,115.66596,USA,2012,1,18,10.8,-1.7
9214,Taurean Prince,ATL,23,203.2,99.79024,USA,2016,1,12,5.7,-0.8
9215,Tarik Black,LAL,25,205.74,113.398,USA,,,,5.7,-1.9
9216,Taj Gibson,OKC,32,205.74,107.047712,USA,2009,1,26,10.8,0.3
9217,TJ Warren,PHX,23,203.2,102.0582,USA,2014,1,14,14.4,-6.8
9218,T.J. McConnell,PHI,25,187.96,90.7184,USA,,,,6.9,-6.2
9219,Steven Adams,OKC,23,213.36,115.66596,New Zealand,2013,1,12,11.3,2.8
9220,Steve Novak,MIL,34,208.28,102.0582,USA,2006,2,32,0.6,-1.6
9221,Stephen Zimmerman,ORL,20,213.36,108.86208,USA,2016,2,41,1.2,-18.1
9222,Thaddeus Young,IND,29,203.2,100.243832,USA,2007,1,12,11,2.5
9223,Treveon Graham,CHA,23,198.12,102.511792,USA,,,,2.1,-11.6
9224,Trevor Ariza,HOU,32,203.2,97.52228,USA,2004,2,43,11.7,5.7
9225,Trevor Booker,BKN,29,203.2,103.418976,USA,2010,1,23,10,-7.9
9226,Zach LaVine,MIN,22,195.58,83.91452,USA,2014,1,13,18.9,-3.6
9227,Jordan Mickey,BOS,22,203.2,106.59412,USA,2015,2,33,1.5,-17.1
9228,Yogi Ferrell,DAL,24,182.88,81.64656,USA,,,,10,-4.1
9229,Willie Reed,MIA,27,210.82,111.13004,USA,,,,5.3,2.6
9230,Willie Cauley-Stein,SAC,23,213.36,108.86208,USA,2015,1,6,8.1,-6.3
9231,Will Barton,DEN,26,198.12,79.3786,USA,2012,2,40,13.7,-2.9
9232,Wesley Matthews,DAL,30,195.58,99.79024,USA,,,,13.5,-3.5
9233,Wesley Johnson,LAC,29,200.66,97.52228,USA,2010,1,4,2.7,-2.9
9234,Wayne Selden,MEM,22,195.58,104.32616,USA,,,,5.1,-7.4
9235,Wayne Ellington,MIA,29,193.04,90.7184,USA,2009,1,28,10.5,2.7
9236,Wade Baldwin IV,MEM,21,193.04,91.625584,USA,2016,1,17,3.2,-16.9
9237,Vince Carter,MEM,40,198.12,99.79024,USA,1998,1,5,8,3.6
9238,Victor Oladipo,OKC,25,193.04,95.25432,USA,2013,1,2,15.9,2.5
9239,Udonis Haslem,MIA,37,203.2,106.59412,USA,,,,1.9,-23.8
9240,Tyus Jones,MIN,21,187.96,88.45044,USA,2015,1,24,3.5,2.5
9241,Tyson Chandler,PHX,34,215.9,108.86208,USA,2001,1,2,8.4,-2.9
9242,Tyreke Evans,SAC,27,198.12,99.79024,USA,2009,1,4,10.3,-8.6
9243,Tyler Zeller,BOS,27,213.36,114.758776,USA,2012,1,17,3.5,0.2
9244,Tyler Ulis,PHX,21,177.8,68.0388,USA,2016,2,34,7.3,-6.5
9245,Tyler Johnson,MIA,25,193.04,84.368112,USA,,,,13.7,0.5
9246,Tyler Ennis,LAL,22,190.5,87.996848,Cada,2014,1,18,4.3,-0.2
9247,Ty Lawson,SAC,29,180.34,88.45044,USA,2009,1,18,9.9,-4.2
9248,Troy Williams,HOU,22,200.66,95.25432,USA,,,,6.2,-5.4
9249,Troy Daniels,MEM,25,193.04,92.98636,USA,,,,8.2,0.3
9250,Tristan Thompson,CLE,26,205.74,107.954896,Cada,2011,1,4,8.1,2.9
9251,Trey Lyles,UTA,21,208.28,106.140528,USA,2015,1,12,6.2,0.9
9252,Trey Burke,WAS,24,185.42,86.636072,USA,2013,1,9,5,-9.2
9253,Stephen Curry,GSW,29,190.5,86.18248,USA,2009,1,7,25.3,17.2
9254,Pascal Siakam,TOR,23,205.74,104.32616,Cameroon,2016,1,27,4.2,0
9255,Stanley Johnson,DET,21,200.66,111.13004,USA,2015,1,8,4.4,0.2
9256,Spencer Dinwiddie,BKN,24,198.12,90.7184,USA,2014,2,38,7.3,-4.9
9257,Richaun Holmes,PHI,23,208.28,111.13004,USA,2015,2,37,9.8,-7.6
9258,Richard Jefferson,CLE,37,200.66,105.686936,USA,2001,1,13,5.7,3.4
9259,Reggie Williams,NOP,30,201,86,USA,,,,4.5,-20.2
9260,Reggie Jackson,DET,27,190.5,94.347136,USA,2011,1,24,14.5,-8.8
9261,Reggie Bullock,DET,26,200.66,92.98636,USA,2013,1,25,4.5,5
9262,Raymond Felton,LAC,33,185.42,92.98636,USA,2005,1,5,6.7,-4.1
9263,Raul Neto,UTA,25,185.42,81.192968,Brazil,2013,2,47,2.5,13.9
9264,Rashad Vaughn,MIL,20,198.12,91.625584,USA,2015,1,17,3.5,-7.6
9265,Randy Foye,BKN,33,193.04,98.883056,USA,2006,1,7,5.2,-7
9266,Ramon Sessions,CHA,31,190.5,86.18248,USA,2007,2,56,6.2,-4.8
9267,Rakeem Christmas,IND,25,205.74,113.398,USA,2015,2,36,2,-10.6
9268,Rajon Rondo,CHI,31,185.42,84.368112,USA,2006,1,21,7.8,-2.1
9269,Ricky Rubio,MIN,26,193.04,86.18248,Spain,2009,1,5,11.1,-1
9270,RJ Hunter,CHI,23,195.58,83.91452,USA,2015,1,28,0,-57.8
9271,Quincy Acy,BKN,26,200.66,108.86208,USA,2012,2,37,5.8,-4.7
9272,Pierre Jackson,DAL,25,177.8,81.64656,USA,2013,2,42,4.4,31.7
9273,Paul Zipser,CHI,23,203.2,95.25432,Germany,2016,2,48,5.5,1.6
9274,Paul Pierce,LAC,39,200.66,106.59412,USA,1998,1,10,3.2,2.4
9275,Paul Millsap,ATL,32,203.2,111.583632,USA,2006,2,47,18.1,2
9276,Paul George,IND,27,205.74,99.79024,USA,2010,1,10,23.7,2.9
9277,Pau Gasol,SAS,36,213.36,113.398,Spain,2001,1,3,12.4,6.8
9278,Patty Mills,SAS,28,182.88,83.91452,Australia,2009,2,55,9.5,12
9279,Patrick Patterson,TOR,28,205.74,106.59412,USA,2010,1,14,6.8,10.9
9280,Patrick McCaw,GSW,21,200.66,83.91452,USA,2016,2,38,4,-0.7
9281,Patrick Beverley,HOU,28,185.42,83.91452,USA,2009,2,42,9.5,7.3
9282,Patricio Garino,ORL,24,198.12,92.079176,Argenti,,,,0,-21.1
9283,Quinn Cook,NOP,24,187.96,81.192968,USA,,,,5.6,-7.7
9284,Robert Covington,PHI,26,205.74,97.52228,USA,,,,12.9,-3.5
9285,Robin Lopez,CHI,29,213.36,115.66596,USA,2008,1,15,10.4,0.2
9286,Rodney Hood,UTA,24,203.2,93.439952,USA,2014,1,23,12.7,4.2
9287,Solomon Hill,NOP,26,200.66,102.0582,USA,2013,1,23,7,0.9
9288,Skal Labissiere,SAC,21,210.82,102.0582,Haiti,2016,1,28,8.8,-2.9
9289,Shelvin Mack,UTA,27,190.5,92.079176,USA,2011,2,34,7.8,0.3
9290,Sheldon Mac,WAS,24,198.12,90.7184,USA,,,,3,-8.7
9291,Shawn Long,PHI,24,205.74,115.66596,USA,,,,8.2,2.6
9292,Shaun Livingston,GSW,31,200.66,87.089664,USA,2004,1,4,5.1,7.6
9293,Shabazz pier,POR,25,185.42,79.3786,USA,2014,1,24,4.1,2.7
9294,Shabazz Muhammad,MIN,24,198.12,101.151016,USA,2013,1,14,9.9,-1.5
9295,Seth Curry,DAL,26,187.96,83.91452,USA,,,,12.8,-0.7
9296,Sergio Rodriguez,PHI,31,190.5,79.832192,Spain,2006,1,27,7.8,-5.3
9297,Serge Ibaka,TOR,27,208.28,106.59412,Democratic Republic of the Congo,2008,1,24,14.8,-2.7
9298,Semaj Christon,OKC,24,190.5,86.18248,USA,2014,2,55,2.9,-6.5
9299,Sean Kilpatrick,BKN,27,193.04,99.336648,USA,,,,13.1,-6.4
9300,Sasha Vujacic,NYK,33,200.66,88.45044,Slovenia,2004,1,27,3,-1.5
9301,Sam Dekker,HOU,23,205.74,104.32616,USA,2015,1,18,6.5,2.8
9302,Salah Mejri,DAL,31,218.44,111.13004,Tunisia,,,,2.9,0.2
9303,Ryan Kelly,ATL,26,210.82,104.32616,USA,2013,2,48,1.6,2.6
9304,Ryan Anderson,HOU,29,208.28,108.86208,USA,2008,1,21,13.6,7.9
9305,Russell Westbrook,OKC,28,190.5,90.7184,USA,2008,1,4,31.6,3.3
9306,Rudy Gobert,UTA,25,215.9,111.13004,France,2013,1,27,14,8.1
9307,Rudy Gay,SAC,30,203.2,104.32616,USA,2006,1,8,18.7,1.7
9308,Roy Hibbert,DEN,30,218.44,122.46984,USA,2008,1,17,4.6,-0.3
9309,Ronnie Price,PHX,34,187.96,86.18248,USA,,,,1,-12.8
9310,Rondae Hollis-Jefferson,BKN,22,200.66,97.068688,USA,2015,1,23,8.7,-4.7
9311,Ron Baker,NYK,24,193.04,99.79024,USA,,,,4.1,-2.5
9312,Rodney Stuckey,IND,31,195.58,92.98636,USA,2007,1,15,7.2,-0.9
9313,Rodney McGruder,MIA,25,193.04,92.98636,USA,,,,6.4,-0.2
9314,Spencer Hawes,MIL,29,215.9,111.13004,USA,2007,1,10,6.2,-10.2
9315,Jordan McRae,CLE,26,195.58,81.192968,USA,2014,2,58,4.4,-7.5
9316,Al Horford,BOS,31,208.28,111.13004,Dominican Republic,2007,1,3,14,5
9317,Jordan Farmar,SAC,30,187.96,81.64656,USA,2006,1,26,6,-6.4
9318,D.J. Augustin,ORL,29,182.88,83.007336,USA,2008,1,9,7.9,-15.1
9319,D'Angelo Russell,LAL,21,195.58,88.45044,USA,2015,1,2,15.6,-8.7
9320,Cristiano Felicio,CHI,24,205.74,120.655472,Brazil,,,,4.8,-0.1
9321,Courtney Lee,NYK,31,195.58,90.7184,USA,2008,1,22,10.8,-4.9
9322,Cory Joseph,TOR,25,190.5,86.18248,Cada,2011,1,29,9.3,2
9323,Corey Brewer,LAL,31,205.74,84.368112,USA,2007,1,7,4.5,3
9324,Cole Aldrich,MIN,28,210.82,113.398,USA,2010,1,11,1.7,-0.2
9325,Cody Zeller,CHA,24,213.36,108.86208,USA,2013,1,4,10.3,5.4
9326,Clint Capela,HOU,23,208.28,108.86208,Switzerland,2014,1,25,12.6,7.8
9327,Christian Wood,CHA,21,210.82,99.79024,USA,,,,2.7,5.5
9328,Chris Paul,LAC,32,182.88,79.3786,USA,2005,1,4,18.1,14.9
9329,Chris McCullough,WAS,22,205.74,97.52228,USA,2015,1,29,2.3,26.8
9330,Dahntay Jones,CLE,36,198.12,102.0582,USA,2003,1,20,9,4.3
9331,Chris Andersen,CLE,38,208.28,111.13004,USA,,,,2.3,4.3
9332,Cheick Diallo,NOP,20,205.74,99.79024,Mali,2016,2,33,5.1,-9.4
9333,Chasson Randle,NYK,24,187.96,83.91452,USA,,,,5.3,-3.4
9334,Channing Frye,CLE,34,210.82,115.66596,USA,2005,1,8,9.1,1
9335,Chandler Parsons,MEM,28,208.28,104.32616,USA,2011,2,38,6.2,-3.6
9336,Carmelo Anthony,NYK,33,203.2,108.86208,USA,2003,1,3,22.4,-5
9337,Caris LeVert,BKN,22,200.66,92.079176,USA,2016,1,20,8.2,-2.7
9338,Cameron Payne,CHI,22,190.5,83.91452,USA,2015,1,14,5.2,-8.7
9339,CJ Wilcox,ORL,26,195.58,88.45044,USA,2014,1,28,1,-13.1
9340,CJ Miles,IND,30,198.12,102.0582,USA,2005,2,34,10.7,0.8
9341,CJ McCollum,POR,25,190.5,86.18248,USA,2013,1,10,23,1.2
9342,C.J. Watson,ORL,33,187.96,79.3786,USA,,,,4.5,-9.9
9343,Buddy Hield,SAC,23,193.04,97.068688,Bahamas,2016,1,6,10.6,-5.5
9344,Chinu Onuaku,HOU,20,208.28,111.13004,USA,2016,2,37,2.8,-41.4
9345,Damian Jones,GSW,22,213.36,111.13004,USA,2016,1,30,1.9,-14.9
9346,Damian Lillard,POR,26,190.5,88.45044,USA,2012,1,6,27,1.2
9347,Damjan Rudez,ORL,31,208.28,103.418976,Croatia,,,,1.8,-17.3
9348,Derrick Favors,UTA,25,208.28,120.20188,USA,2010,1,3,9.5,2.8
9349,Deron Williams,CLE,33,190.5,90.7184,USA,2005,1,3,11,-2.8
9350,Denzel Valentine,CHI,23,198.12,96.161504,USA,2016,1,14,5.1,-0.5
9351,Dennis Schroder,ATL,23,185.42,78.017824,Germany,2013,1,17,17.9,-2
9352,Demetrius Jackson,BOS,22,185.42,91.171992,USA,2016,2,45,2,6.3
9353,Delon Wright,TOR,25,195.58,86.18248,USA,2015,1,20,5.6,8.8
9354,Dejounte Murray,SAS,20,195.58,77.11064,USA,2016,1,29,3.4,2.9
9355,DeMarre Carroll,TOR,30,203.2,96.161504,USA,2009,1,27,8.9,3.3
9356,DeMarcus Cousins,NOP,26,210.82,122.46984,USA,2010,1,5,27,-2.2
9357,DeMar DeRozan,TOR,27,200.66,99.79024,USA,2009,1,9,27.3,3.3
9358,DeAndre' Bembry,ATL,22,198.12,95.25432,USA,2016,1,21,2.7,-3.4
9359,DeAndre Liggins,DAL,29,198.12,94.800728,USA,2011,2,53,2.5,2.8
9360,DeAndre Jordan,LAC,28,210.82,120.20188,USA,2008,2,35,12.7,9.7
9361,Davis Bertans,SAS,24,208.28,95.25432,Latvia,2011,2,42,4.5,6.3
9362,David West,GSW,36,205.74,113.398,USA,2003,1,18,4.6,9.1
9363,David Nwaba,LAL,24,193.04,94.800728,USA,,,,6,2.2
9364,David Lee,SAS,34,205.74,111.13004,USA,2005,1,30,7.3,11
9365,Darrun Hilliard,DET,24,198.12,92.98636,USA,2015,2,38,3.3,-0.1
9366,Darren Collison,SAC,29,182.88,79.3786,USA,2009,1,21,13.2,-4.2
9367,Darrell Arthur,DEN,29,205.74,106.59412,USA,2008,1,27,6.4,-0.4
9368,Dario Saric,PHI,23,208.28,101.151016,Croatia,2014,1,12,12.8,-7.2
9369,Danuel House,WAS,24,200.66,97.52228,USA,,,,0,0
9370,Dante Exum,UTA,21,198.12,86.18248,Australia,2014,1,5,6.2,2
9371,Dante Cunningham,NOP,30,203.2,104.32616,USA,2009,2,33,6.6,-0.3
9372,Danny Green,SAS,30,198.12,97.52228,USA,2009,2,46,7.3,7.8
9373,Danilo Galliri,DEN,28,208.28,102.0582,Italy,2008,1,6,18.2,2.7
9374,Daniel Ochefu,WAS,23,210.82,111.13004,USA,,,,1.3,-20.5
9375,Bryn Forbes,SAS,23,190.5,86.18248,USA,,,,2.6,-8.7
9376,Derrick Jones Jr.,PHX,20,200.66,86.18248,USA,,,,5.3,4.4
9377,Bruno Caboclo,TOR,21,205.74,92.98636,Brazil,2014,1,20,1.6,6.2
9378,Brice Johnson,LAC,23,208.28,104.32616,USA,2016,1,25,1.3,44.9
9379,Andrew Wiggins,MIN,22,203.2,90.264808,Cada,2014,1,1,23.6,-0.5
9380,Andrew Nicholson,BKN,27,205.74,113.398,Cada,2012,1,19,2.6,-17.6
9381,Andrew Harrison,MEM,22,198.12,96.615096,USA,2015,2,44,5.9,-0.3
9382,Andrew Bogut,CLE,32,213.36,117.93392,Australia,2005,1,1,2.9,-1.7
9383,Andre Roberson,OKC,25,200.66,95.25432,USA,2013,1,26,6.6,2.8
9384,Andre Iguodala,GSW,33,198.12,97.52228,USA,2004,1,9,7.6,13.4
9385,Andre Drummond,DET,23,210.82,126.552168,USA,2012,1,9,13.6,-6.3
9386,Anderson Varejao,GSW,34,210.82,123.830616,Brazil,2004,2,30,1.3,-8.4
9387,Amir Johnson,BOS,30,205.74,108.86208,USA,2005,2,56,6.5,8
9388,Alonzo Gee,DEN,30,198.12,102.0582,USA,,,,0.8,1.4
9389,Allen Crabbe,POR,25,198.12,97.52228,USA,2013,2,31,10.7,-2.8
9390,Alexis Ajinca,NOP,29,218.44,112.490816,France,2008,1,20,5.3,-4.7
9391,Anthony Bennett,BKN,24,203.2,106.59412,Cada,2013,1,1,5,-10.6
9392,Alex Poythress,PHI,23,200.66,107.954896,USA,,,,10.7,-9.6
9393,Alex Abrines,OKC,23,198.12,86.18248,Spain,2013,2,32,6,-2.3
9394,Alec Burks,UTA,25,198.12,97.068688,USA,2011,1,12,6.7,0.1
9395,Alan Williams,PHX,24,203.2,117.93392,USA,,,,7.4,-0.3
9396,Alan Anderson,LAC,34,198.12,99.79024,USA,,,,2.9,-10.8
9397,Al-Farouq Aminu,POR,26,205.74,99.79024,USA,2010,1,8,8.7,1.8
9398,Al Jefferson,IND,32,208.28,131.088088,USA,2004,1,15,8.1,-5.8
9399,Zach Randolph,MEM,35,205.74,117.93392,USA,2001,1,19,14.1,-1.1
9400,Adreian Payne,MIN,26,208.28,107.501304,USA,2014,1,15,3.5,0.8
9401,Aaron Harrison,CHA,22,198.12,95.25432,USA,,,,0.2,-18.6
9402,Aaron Gordon,ORL,21,205.74,99.79024,USA,2014,1,4,12.7,-2.8
9403,Aaron Brooks,IND,32,182.88,73.028312,USA,2007,1,26,5,-3
9404,AJ Hammons,DAL,24,213.36,117.93392,USA,2016,2,46,2.2,-0.6
9405,Alex Len,PHX,24,215.9,117.93392,Ukraine,2013,1,5,8,-11.1
9406,Anthony Brown,ORL,24,200.66,95.707912,USA,2015,2,34,3.9,1.3
9407,Anthony Davis,NOP,24,210.82,114.758776,USA,2012,1,1,28,1.7
9408,Anthony Morrow,CHI,31,195.58,95.25432,USA,,,,5.5,-1.8
9409,Briante Weber,CHA,24,187.96,74.84268,USA,,,,3.1,-10.8
9410,Brian Roberts,CHA,31,185.42,78.471416,USA,,,,3.5,-7
9411,Brandon Rush,MIN,31,198.12,102.0582,USA,2008,1,13,4.2,-0.8
9412,Brandon Knight,PHX,25,190.5,88.45044,USA,2011,1,8,11,-12.1
